,data_loss,physic_loss,
602,0.060927227,1.44E-10,8.625287529
603,0.060919777,1.46E-10,8.619361988
604,0.060912255,1.49E-10,8.611377971
605,0.060904671,1.52E-10,8.603945801
606,0.060897019,1.54E-10,8.596960831
607,0.0608893,1.56E-10,8.59055312
608,0.060881503,1.58E-10,8.584943884
609,0.060873639,1.61E-10,8.577315893
610,0.060865697,1.66E-10,8.565282987
611,0.060857687,1.67E-10,8.561678421
612,0.060849603,1.70E-10,8.553781779
613,0.060841434,1.75E-10,8.541916563
614,0.060833193,1.78E-10,8.533394419
615,0.060824871,1.81E-10,8.525886818
616,0.060816478,1.85E-10,8.517020149
617,0.060807992,1.88E-10,8.509291509
618,0.06079942,1.91E-10,8.502650929
619,0.060790777,1.95E-10,8.494762625
620,0.06078203,2.00E-10,8.483497394
621,0.060773201,2.03E-10,8.475850854
622,0.060764287,2.07E-10,8.467366335
623,0.060755279,2.11E-10,8.460153135
624,0.060746178,2.16E-10,8.449945443
625,0.06073698,2.20E-10,8.441201325
626,0.060727693,2.24E-10,8.433963641
627,0.060718294,2.30E-10,8.421997736
628,0.060708802,2.33E-10,8.41597256
629,0.060699206,2.38E-10,8.407275656
630,0.060689513,2.41E-10,8.400343858
631,0.060679708,2.45E-10,8.393099166
632,0.060669787,2.52E-10,8.381614737
633,0.060659766,2.58E-10,8.372008508
634,0.060649626,2.64E-10,8.360450661
635,0.060639367,2.69E-10,8.352923086
636,0.060628995,2.75E-10,8.343644975
637,0.060618505,2.79E-10,8.336470027
638,0.060607892,2.85E-10,8.327676202
639,0.06059714,2.91E-10,8.319253196
640,0.060586277,2.98E-10,8.30743312
641,0.060575269,3.05E-10,8.297967536
642,0.060564138,3.13E-10,8.28724064
643,0.060552858,3.21E-10,8.275748511
644,0.060541455,3.26E-10,8.268543162
645,0.060529899,3.32E-10,8.260543302
646,0.060518201,3.40E-10,8.24998693
647,0.060506348,3.47E-10,8.242084485
648,0.060494345,3.58E-10,8.228433266
649,0.060482185,3.65E-10,8.219414337
650,0.060469858,3.74E-10,8.208557686
651,0.060457375,3.82E-10,8.198960056
652,0.060444716,3.92E-10,8.187833457
653,0.06043189,4.01E-10,8.178243524
654,0.060418893,4.10E-10,8.168773123
655,0.060405698,4.20E-10,8.157868445
656,0.060392331,4.32E-10,8.145825203
657,0.060378768,4.43E-10,8.134339649
658,0.060365018,4.53E-10,8.124908365
659,0.060351055,4.65E-10,8.113240018
660,0.060336892,4.77E-10,8.102481622
661,0.060322523,4.87E-10,8.092601731
662,0.060307931,5.02E-10,8.079522154
